"","country","brand","channel","channel_rate"
"1","country_1","brand_3","B",1.18970412630245
"2","country_1","brand_3","D",98.8102958736976
"3","country_1","brand_4","B",0.090229424345843
"4","country_1","brand_4","D",99.9097705756542
"5","country_1","brand_10","B",1.01569734303353
"6","country_1","brand_10","D",98.9843026569665
"7","country_1","brand_14","B",1.1184458288388
"8","country_1","brand_14","D",98.8815541711612
"9","country_1","brand_18","B",1.1186710056896
"10","country_1","brand_18","D",98.8813289943104
"11","country_1","brand_20","B",99.4030533585691
"12","country_1","brand_20","D",0.596946641430917
"13","country_1","brand_23","B",0.339134494571417
"14","country_1","brand_23","D",99.6608655054286
"15","country_1","brand_25","B",1.31012238169328
"16","country_1","brand_25","D",98.6898776183067
"17","country_1","brand_32","B",0.0161926520780992
"18","country_1","brand_32","D",99.9838073479219
"19","country_1","brand_46","B",8.1789410307702
"20","country_1","brand_46","D",91.8210589692298
"21","country_1","brand_47","B",15.8912235336541
"22","country_1","brand_47","D",84.1087764663459
"23","country_1","brand_48","B",65.5262122244815
"24","country_1","brand_48","D",34.4737877755185
"25","country_1","brand_49","B",27.725523933569
"26","country_1","brand_49","D",72.274476066431
"27","country_1","brand_50","B",1.08149717158255
"28","country_1","brand_50","D",98.9185028284175
"29","country_1","brand_53","B",1.27252072372676
"30","country_1","brand_53","D",98.7274792762732
"31","country_1","brand_54","B",0.0986151260787987
"32","country_1","brand_54","D",99.9013848739212
"33","country_1","brand_55","B",32.5024059936569
"34","country_1","brand_55","D",67.4975940063431
"35","country_1","brand_56","B",11.4184909543217
"36","country_1","brand_56","D",88.5815090456783
"37","country_1","brand_57","B",1.22231522299377
"38","country_1","brand_57","D",98.7776847770062
"39","country_1","brand_58","B",0.0883031645871872
"40","country_1","brand_58","D",99.9116968354128
"41","country_1","brand_61","B",2.76750166073357
"42","country_1","brand_61","D",97.2324983392664
"43","country_1","brand_65","B",2.77560493402673
"44","country_1","brand_65","D",97.2243950659733
"45","country_1","brand_76","B",0.0699630877807364
"46","country_1","brand_76","D",99.9300369122193
"47","country_1","brand_88","B",1.80476229748342
"48","country_1","brand_88","D",98.1952377025166
"49","country_1","brand_94","B",0.196058591361303
"50","country_1","brand_94","D",99.8039414086387
"51","country_1","brand_97","B",1.07499716954849
"52","country_1","brand_97","D",98.9250028304515
"53","country_1","brand_98","B",0.169351910352499
"54","country_1","brand_98","D",99.8306480896475
"55","country_1","brand_102","B",0.109765762539789
"56","country_1","brand_102","D",99.8902342374602
"57","country_1","brand_115","B",1.99272824603445
"58","country_1","brand_115","D",98.0072717539656
"59","country_1","brand_117","B",2.14847600528475
"60","country_1","brand_117","D",97.8515239947153
"61","country_1","brand_119","B",0.605483397329089
"62","country_1","brand_119","D",99.3945166026709
"63","country_1","brand_121","B",1.72365121961471
"64","country_1","brand_121","D",98.2763487803853
"65","country_1","brand_122","B",72.2704499448931
"66","country_1","brand_122","D",27.7295500551069
"67","country_1","brand_128","B",5.39190188065312
"68","country_1","brand_128","D",94.6080981193469
"69","country_1","brand_133","B",1.36099472598616
"70","country_1","brand_133","D",98.6390052740138
"71","country_1","brand_140","B",7.31455242014378
"72","country_1","brand_140","D",92.6854475798562
"73","country_1","brand_154","B",32.6236884533713
"74","country_1","brand_154","D",67.3763115466287
"75","country_1","brand_157","B",98.7761764214977
"76","country_1","brand_157","D",1.22382357850234
"77","country_1","brand_160","B",0.574487496054916
"78","country_1","brand_160","D",99.4255125039451
"79","country_1","brand_162","B",11.7294291591794
"80","country_1","brand_162","D",88.2705708408206
"81","country_1","brand_164","B",2.543901089022
"82","country_1","brand_164","D",97.456098910978
"83","country_1","brand_167","B",16.4869846944475
"84","country_1","brand_167","D",83.5130153055525
"85","country_1","brand_173","B",0.18095160109336
"86","country_1","brand_173","D",99.8190483989066
"87","country_1","brand_181","B",0.104340301062084
"88","country_1","brand_181","D",99.8956596989379
"89","country_1","brand_187","B",18.2424266571045
"90","country_1","brand_187","D",81.7575733428955
"91","country_1","brand_194","B",98.5417950297802
"92","country_1","brand_194","D",1.45820497021976
"93","country_1","brand_195","B",0.20235704043224
"94","country_1","brand_195","D",99.7976429595678
"95","country_1","brand_207","B",44.1994193836534
"96","country_1","brand_207","D",55.8005806163466
"97","country_1","brand_220","B",3.07557575225193
"98","country_1","brand_220","D",96.9244242477481
"99","country_1","brand_228","B",3.73118724646805
"100","country_1","brand_228","D",96.2688127535319
"101","country_1","brand_232","B",1.09619815812633
"102","country_1","brand_232","D",98.9038018418737
"103","country_1","brand_233","B",39.3122210425965
